"","iso2c","iso3c","country","date","IC.CRD.LGL.XQ","unit","obs_status","footnote","last_updated"
"401","MZ","MOZ","Mozambique",2010,3,NA,NA,NA,2013-02-22
"402","MZ","MOZ","Mozambique",2011,3,NA,NA,NA,2013-02-22
"403","MZ","MOZ","Mozambique",2012,3,NA,NA,NA,2013-02-22
"404","MR","MRT","Mauritania",2000,NA,NA,NA,NA,2013-02-22
"405","MR","MRT","Mauritania",2001,NA,NA,NA,NA,2013-02-22
"406","MR","MRT","Mauritania",2002,NA,NA,NA,NA,2013-02-22
"407","MR","MRT","Mauritania",2003,NA,NA,NA,NA,2013-02-22
"408","MR","MRT","Mauritania",2004,3,NA,NA,NA,2013-02-22
"409","MR","MRT","Mauritania",2005,3,NA,NA,NA,2013-02-22
"410","MR","MRT","Mauritania",2006,3,NA,NA,NA,2013-02-22
"411","MR","MRT","Mauritania",2007,3,NA,NA,NA,2013-02-22
"412","MR","MRT","Mauritania",2008,3,NA,NA,NA,2013-02-22
"413","MR","MRT","Mauritania",2009,3,NA,NA,NA,2013-02-22
"414","MR","MRT","Mauritania",2010,3,NA,NA,NA,2013-02-22
"415","MR","MRT","Mauritania",2011,3,NA,NA,NA,2013-02-22
"416","MR","MRT","Mauritania",2012,3,NA,NA,NA,2013-02-22
"417","MU","MUS","Mauritius",2000,NA,NA,NA,NA,2013-02-22
"418","MU","MUS","Mauritius",2001,NA,NA,NA,NA,2013-02-22
"419","MU","MUS","Mauritius",2002,NA,NA,NA,NA,2013-02-22
"420","MU","MUS","Mauritius",2003,NA,NA,NA,NA,2013-02-22
"421","MU","MUS","Mauritius",2004,6,NA,NA,NA,2013-02-22
"422","MU","MUS","Mauritius",2005,6,NA,NA,NA,2013-02-22
"423","MU","MUS","Mauritius",2006,6,NA,NA,NA,2013-02-22
"424","MU","MUS","Mauritius",2007,6,NA,NA,NA,2013-02-22
"425","MU","MUS","Mauritius",2008,6,NA,NA,NA,2013-02-22
"426","MU","MUS","Mauritius",2009,6,NA,NA,NA,2013-02-22
"427","MU","MUS","Mauritius",2010,6,NA,NA,NA,2013-02-22
"428","MU","MUS","Mauritius",2011,6,NA,NA,NA,2013-02-22
"429","MU","MUS","Mauritius",2012,6,NA,NA,NA,2013-02-22
"430","MW","MWI","Malawi",2000,NA,NA,NA,NA,2013-02-22
"431","MW","MWI","Malawi",2001,NA,NA,NA,NA,2013-02-22
"432","MW","MWI","Malawi",2002,NA,NA,NA,NA,2013-02-22
"433","MW","MWI","Malawi",2003,NA,NA,NA,NA,2013-02-22
"434","MW","MWI","Malawi",2004,7,NA,NA,NA,2013-02-22
"435","MW","MWI","Malawi",2005,7,NA,NA,NA,2013-02-22
"436","MW","MWI","Malawi",2006,7,NA,NA,NA,2013-02-22
"437","MW","MWI","Malawi",2007,7,NA,NA,NA,2013-02-22
"438","MW","MWI","Malawi",2008,7,NA,NA,NA,2013-02-22
"439","MW","MWI","Malawi",2009,7,NA,NA,NA,2013-02-22
"440","MW","MWI","Malawi",2010,7,NA,NA,NA,2013-02-22
"441","MW","MWI","Malawi",2011,7,NA,NA,NA,2013-02-22
"442","MW","MWI","Malawi",2012,7,NA,NA,NA,2013-02-22
"443","NA","NAM","Namibia",2000,NA,NA,NA,NA,2013-02-22
"444","NA","NAM","Namibia",2001,NA,NA,NA,NA,2013-02-22
"445","NA","NAM","Namibia",2002,NA,NA,NA,NA,2013-02-22
"446","NA","NAM","Namibia",2003,NA,NA,NA,NA,2013-02-22
"447","NA","NAM","Namibia",2004,8,NA,NA,NA,2013-02-22
"448","NA","NAM","Namibia",2005,8,NA,NA,NA,2013-02-22
"449","NA","NAM","Namibia",2006,8,NA,NA,NA,2013-02-22
"450","NA","NAM","Namibia",2007,8,NA,NA,NA,2013-02-22
"451","NA","NAM","Namibia",2008,8,NA,NA,NA,2013-02-22
"452","NA","NAM","Namibia",2009,8,NA,NA,NA,2013-02-22
"453","NA","NAM","Namibia",2010,8,NA,NA,NA,2013-02-22
"454","NA","NAM","Namibia",2011,8,NA,NA,NA,2013-02-22
"455","NA","NAM","Namibia",2012,8,NA,NA,NA,2013-02-22
"456","NE","NER","Niger",2000,NA,NA,NA,NA,2013-02-22
"457","NE","NER","Niger",2001,NA,NA,NA,NA,2013-02-22
"458","NE","NER","Niger",2002,NA,NA,NA,NA,2013-02-22
